row,column,ID,event_short,SM_N,SM_S,SPAD,SPAD2,mPA,comments,,
11,4,LCOR-268,5C,,,,,,,,
2,5,LCOR-344,CT3,,,,,,,,
10,5,LCOR-092,8-9D,,,,,,,,
12,5,LCOR-563,5C,,,,,,,,
5,6,LCOR-062,2H,,,,,,,,
7,6,LCOR-003,4A,,,,,,,,
10,6,LCOR-251,5A,,,,,,,,
3,9,LCOR-001,4A,,,,,,,,
8,9,LCOR-163,5A,,,,,,,,
13,9,LCOR-504,CT3,,,,,,,,
2,11,LCOR-164,5A,,,,,,,,
13,11,LCOR-289,8-9D,,,,,,,,
14,11,LCOR-040,5C,,,,,,,,
5,12,LCOR-277,5C,,,,,,,,
7,12,LCOR-111,16-20,,,,,,,,
9,12,LCOR-588,5A,,,,,,,,
11,12,LCOR-035,5C,,,,,,,,
13,12,LCOR-218,2H,,,,,,,,
2,13,LCOR-066,2H,,,,,,,,
7,13,LCOR-338,CT3,,,,,,,,
10,13,LCOR-077,13-15E,,,,,,,,
3,14,LCOR-604,13-15E,,,,,,,,
15,16,LCOR-614,13-15E,,,,,,,,
5,17,LCOR-079,13-15E,,,,,,,,
13,17,LCOR-502,CT3,,,,,,,,
2,18,LCOR-058,2H,,,,,,,,
7,19,LCOR-585,5A,,,,,,,,
7,20,LCOR-059,2H,,,,,,,,
12,20,LCOR-230,4A,,,,,,,,
13,20,LCOR-534,4A,,,,,,,,
15,20,LCOR-493,CT3,,,,,,,,
9,21,LCOR-584,5A,,,,,,,,
2,22,LCOR-616,13-15E,,,,,,,,
13,22,LCOR-514,16-20,,,,,,,,
14,23,LCOR-290,8-9D,,,,,,,,
14,24,LCOR-309,16-20,,,,,,,,
8,26,LCOR-300,13-15E,,,,,,,,
15,26,LCOR-508,16-20,,,,,,,,
7,27,LCOR-197,CT3,,,,,,,,
10,27,LCOR-322,16-20,,,,,,,,
1,28,LCOR-537,4A,,,,,,,,
3,28,LCOR-086,8-9D,,,,,,,,
4,30,LCOR-093,8-9D,,,,,,,,
13,45,LCOR-461,2H,,,,,,,,
4,47,LCOR-232,4A,,,,,,,,
7,48,LCOR-509,16-20,,,,,,,,
15,51,LCOR-413,8-9D,,,,,,,,
6,53,LCOR-566,5C,,,,,,,,
