"","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","H664","H801","D49","D144","D299","D335","D357","D385","D421","D497","D664","D801","V49","V144","V299","V335","V357","V385","V421","V497","V664","V801"
"1",3,3,"LCOR-064","LC-102 2H","2H","LC-102","transgenic","large",812.8000001,823.5,856.488,1139.952,1463.04,1889.76,2712.72,2712.72,2788.92,3322.32,4.826,6,6,8.5,10,12,17,17,17.4,22.74,14.8678388317695,23.283894285,24.21660722328,64.68654132897,114.90679584,213.7266402624,615.7328532918,615.7328532918,663.168772506132,1349.31048725747
"2",4,3,"LCOR-173","LC-102 1C","1C","LC-102","transgenic","large",736.6000001,736.6000001,743.712,960.12,1219.2,1508.76,2164.08,2225.04,2225.04,3139.44,4.318,5,5,7.5,10,10,14,14,14.1,21.22,10.7866479614479,14.4630949644635,14.602738638,42.416766433125,95.7556632,118.49763321,333.1339522728,342.5180072664,347.428597064454,1110.27985761162
"3",5,3,"LCOR-104","LC-102 16-20","16-20","Escape","control","large",876.3,1037,1063.752,1371.6,1767.84,2225.04,2804.16,2926.08,2926.08,3108.96,7.874,9,10,10.3,16,17,19,19,19,21.51,42.6710320712652,65.9710338075,83.546816142,114.28558097499,355.4450217984,505.0393066326,795.0592715496,829.6270659648,829.6270659648,1129.75811553603
"4",6,3,"LCOR-552","LC-102 7","7","LC-102","transgenic","large",1066.8,1113.25,1130.808,1463.04,1828.8,2286,2895.6,3048,3108.96,4358.64,6.604,7,8,10.1,13,15,20,20,20.9,30.95,36.5415235508712,42.842844576875,56.84056167552,117.216422436384,242.740606212,403.969204125,909.6788004,957.556632,1066.589296681,3279.15406277166
"5",7,3,"LCOR-395","LC-102 1C","1C","LC-102","transgenic","large",876.3,945.5,963.168,1219.2,1539.24,1950.72,2438.4,2529.84,2612.136,3718.56,8.636,9,9,10.2,13,15,17.5,17.5,17.9,26.27,51.3295661544043,60.15006023625,61.27404888168,99.62419199328,204.3066768951,344.72038752,586.5034371,608.49731599125,657.341968583664,2015.50766188245
"6",8,3,"LCOR-228","LC-102 4A","4A","LC-102","transgenic","large",1193.8,1250.5,1280.16,1563.624,1859.28,2255.52,2819.4,2895.6,2971.8,3840.48,8.128,9,9,11.9,14,15,20,20,20.1,26.9,61.9424642665656,79.55330547375,81.4401915516,173.906480148269,286.2136773048,398.58294807,885.7398846,909.6788004,942.977233804905,2182.62729661679
"7",9,3,"LCOR-362","LC-102 1","1","LC-102","transgenic","large",762,884.5,954.024,1347.216,1737.36,2194.56,2910.84,2910.84,3002.28,3779.52,6.096,8,8,10.9,14,15,19,19,19.1,24.85,22.2399805212403,44.45978168,47.95443613056,125.712870309952,267.4455673176,387.81043596,825.3060916629,825.3060916629,860.215853490303,1833.06957238108
"8",10,3,"LCOR-259","LC-102 4B","4B","LC-102","transgenic","large",1168.4,1403,1463.04,1889.76,2194.56,2636.52,3322.32,3352.8,3444.24,4480.56,9.398,11,11,14,17,19,23.5,23.5,23.5,35.51,81.0497993833674,133.3314357925,139.0372229664,290.9057048016,498.1209599664,747.5285542287,1441.00902130995,1454.2292875605,1493.89008631215,4437.34459617576
"9",11,3,"LCOR-258","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1586,1615.44,1615.44,2133.6,2651.76,3246.12,3246.12,3304.032,4450.08,9.398,11,11,14.1,16,19,21.5,21.5,23,35.04,95.1454166674312,150.722492635,153.5202670254,252.242680060494,428.985371136,751.8495285306,1178.50384774057,1178.50384774057,1372.74361206888,4291.26691173977
"10",12,3,"LCOR-188","LC-102 13-15B","13-15B","LC-102","transgenic","large",863.5999999,915,915,1005.84,1005.84,1097.28,1554.48,1615.44,1661.16,1661.16,5.842,7,7,7.9,8,8,10,10,10.5,10.5,23.1486278708744,35.2132969125,35.2132969125,49.302915257574,50.5589901696,55.1552620032,122.08847058,126.87625374,143.839967948775,143.839967948775
