"","X","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","D49","D144","D299","D335","D357","D385","D421","D497","V49","V144","V299","V335","V357","V385","V421","V497","V49_cm","V144_cm","V299_cm","V335_cm","V357_cm","V385_cm","V421_cm","V497_cm","event2"
"1",1,3,3,"LCOR-064","LC-102 2H","2H","LC-102","transgenic","large",812.8000001,823.5,856.488,1139.952,1463.04,1889.76,2712.72,2712.72,4.826,6,6,8.5,10,12,17,17,18930.336335129,29646,30833.568,82361.532,146304,272125.44,783976.08,783976.08,18.930336335129,29.646,30.833568,82.361532,146.304,272.12544,783.97608,783.97608,"LC-102 2H"
"2",2,4,3,"LCOR-173","LC-102 1C","1C","LC-102","transgenic","large",736.6000001,736.6000001,743.712,960.12,1219.2,1508.76,2164.08,2225.04,4.318,5,5,7.5,10,10,14,14,13733.9983402645,18415.0000025,18592.8,54006.75,121920,150876,424159.68,436107.84,13.7339983402645,18.4150000025,18.5928,54.00675,121.92,150.876,424.15968,436.10784,"LC-102 1C"
"3",3,5,3,"LCOR-104","LC-102 16-20","16-20","Escape","control","large",876.3,1037,1063.752,1371.6,1767.84,2225.04,2804.16,2926.08,7.874,9,10,10.3,16,17,19,19,54330.4913388,83997,106375.2,145513.044,452567.04,643036.56,1012301.76,1056314.88,54.3304913388,83.997,106.3752,145.513044,452.56704,643.03656,1012.30176,1056.31488,"escape"
"4",4,6,3,"LCOR-552","LC-102 7","7","LC-102","transgenic","large",1066.8,1113.25,1130.808,1463.04,1828.8,2286,2895.6,3048,6.604,7,8,10.1,13,15,20,20,46526.1521088,54549.25,72371.712,149244.7104,309067.2,514350,1158240,1219200,46.5261521088,54.54925,72.371712,149.2447104,309.0672,514.35,1158.24,1219.2,"LC-102 7"
"5",5,7,3,"LCOR-395","LC-102 1C","1C","LC-102","transgenic","large",876.3,945.5,963.168,1219.2,1539.24,1950.72,2438.4,2529.84,8.636,9,9,10.2,13,15,17.5,17.5,65354.8886448,76585.5,78016.608,126845.568,260131.56,438912,746760,774763.5,65.3548886448,76.5855,78.016608,126.845568,260.13156,438.912,746.76,774.7635,"LC-102 1C"
"6",6,8,3,"LCOR-228","LC-102 4A","4A","LC-102","transgenic","large",1193.8,1250.5,1280.16,1563.624,1859.28,2255.52,2819.4,2895.6,8.128,9,9,11.9,14,15,20,20,78867.6616192,101290.5,103692.96,221424.79464,364418.88,507492,1127760,1158240,78.8676616192,101.2905,103.69296,221.42479464,364.41888,507.492,1127.76,1158.24,"LC-102 4A"
"7",7,9,3,"LCOR-362","LC-102 1","1","LC-102","transgenic","large",762,884.5,954.024,1347.216,1737.36,2194.56,2910.84,2910.84,6.096,8,8,10.9,14,15,19,19,28316.846592,56608,61057.536,160062.73296,340522.56,493776,1050813.24,1050813.24,28.316846592,56.608,61.057536,160.06273296,340.52256,493.776,1050.81324,1050.81324,"LC-102 1"
"8",8,10,3,"LCOR-259","LC-102 4B","4B","LC-102","transgenic","large",1168.4,1403,1463.04,1889.76,2194.56,2636.52,3322.32,3352.8,9.398,11,11,14,17,19,23.5,23.5,103195.8968336,169763,177027.84,370392.96,634227.84,951783.72,1834751.22,1851583.8,103.1958968336,169.763,177.02784,370.39296,634.22784,951.78372,1834.75122,1851.5838,"LC-102 4B"
"9",9,11,3,"LCOR-258","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1586,1615.44,1615.44,2133.6,2651.76,3246.12,3246.12,9.398,11,11,14.1,16,19,21.5,21.5,121143.0093264,191906,195468.24,321165.6264,546201.6,957285.36,1500518.97,1500518.97,121.1430093264,191.906,195.46824,321.1656264,546.2016,957.28536,1500.51897,1500.51897,"LC-102 4B"
"10",10,12,3,"LCOR-188","LC-102 13-15B","13-15B","LC-102","transgenic","large",863.5999999,915,915,1005.84,1005.84,1097.28,1554.48,1615.44,5.842,7,7,7.9,8,8,10,10,29473.7733069871,44835,44835,62774.4744,64373.76,70225.92,155448,161544,29.4737733069871,44.835,44.835,62.7744744,64.37376,70.22592,155.448,161.544,"LC-102 13-15B"
