row,column,ID,DS_1,DS_18,DS_32,DS_55,SPAD_18,SPAD_32,SPAD_55
1,1,LCOR-1143,,,,,,#N/A,
2,1,LCOR-1088,,,,,,#N/A,
3,1,LCOR-1141,,,,,,#N/A,
4,1,LCOR-1064,,,,,,#N/A,
5,1,LCOR-1145,,,,,,#N/A,
6,1,LCOR-1150,,,,,,#N/A,
7,1,LCOR-1071,,,,,,#N/A,
8,1,LCOR-1247,,,,,,#N/A,
9,1,LCOR-1024,,,,,,#N/A,
10,1,LCOR-1057,,,,,,#N/A,
11,1,LCOR-1060,,,,,,#N/A,
12,1,LCOR-1063,,,,,,#N/A,
13,1,LCOR-1081,,,,,,#N/A,
14,1,LCOR-1097,,,,,,#N/A,
15,1,LCOR-1199,,,,,,#N/A,
16,1,LCOR-1053,,,,,,#N/A,
1,2,LCOR-1101,,,,,,#N/A,
2,2,LCOR-1137,,,,,,#N/A,
3,2,LCOR-1075,,,,,,#N/A,
4,2,LCOR-1022,,,,,,#N/A,
5,2,LCOR-1061,,,,,,#N/A,
6,2,LCOR-1078,,,,,,#N/A,
7,2,LCOR-1080,,,,,,#N/A,
8,2,LCOR-1085,,,,,,#N/A,
9,2,LCOR-1091,,,,,,#N/A,
10,2,LCOR-1106,,,,,,#N/A,
11,2,LCOR-1163,,,,,,#N/A,
12,2,LCOR-1168,,,,,,#N/A,
13,2,LCOR-1183,,,,,,#N/A,
14,2,LCOR-1187,,,,,,#N/A,
15,2,LCOR-1198,,,,,,#N/A,
16,2,LCOR-1076,,,,,,#N/A,
1,3,LCOR-1001,,,,,,#N/A,
2,3,LCOR-125,0,1,1,,26.4,23.7,
3,3,LCOR-064,0,1,1,2,25,22.9,19.7
4,3,LCOR-173,0,1,1,1,26.8,27.1,27
5,3,LCOR-104,1,2,2,3,22.5,26.3,23.5
6,3,LCOR-552,0,0,0,0,31,23.3,33.5
7,3,LCOR-395,0,0,0,1,29.5,17.2,33.6
8,3,LCOR-228,0,1,1,1,28.9,24,29.5
9,3,LCOR-362,0,1,1,2,23.4,0,21.4
10,3,LCOR-259,0,0,0,1,30.8,28.6,24.7
11,3,LCOR-258,0,1,1,1,30.1,19.6,23.5
12,3,LCOR-188,3,4,4,4,X,#N/A,25.7
13,3,LCOR-294,0,1,1,2,27.5,27.5,26.2
14,3,LCOR-253,0,1,1,1,28.3,21.3,29
15,3,LCOR-213,0,1,1,1,26,27.2,32.8
16,3,LCOR-1047,,,,,,#N/A,
1,4,LCOR-1002,,,,,,#N/A,
2,4,LCOR-087,0,0,0,2,30.3,22.4,25.2
3,4,LCOR-308,1,2,2,3,17.7,28.8,25.3
4,4,LCOR-249,0,1,1,1,23.4,29.7,31.3
5,4,LCOR-244,5,5,5,5,X,#N/A,NA
6,4,LCOR-607,1,2,2,2,24.4,21.8,21.2
